inventory_id,vendor_id,department_code,department_name,lead_time_days,min_stock_limit,max_capacity,team_member,team_member_email,manager,manager_email
INV00028,V0057,DEPT_PHA08,Pharmacy,27,79,316,Team_Member_3,team_member_3@hospital.org,Manager_1,manager_1@hospital.org
INV00029,V0053,DEPT_RAD09,Radiology,12,169,676,Team_Member_5,team_member_5@hospital.org,Manager_1,manager_1@hospital.org
INV00030,V0128,DEPT_SUR10,Surgery,18,144,288,Team_Member_19,team_member_19@hospital.org,Manager_5,manager_5@hospital.org
INV00031,V0111,DEPT_EME01,Emergency,3,91,273,Team_Member_7,team_member_7@hospital.org,Manager_3,manager_3@hospital.org
INV00032,V0066,DEPT_GYN02,Gynecology,13,198,396,Team_Member_9,team_member_9@hospital.org,Manager_4,manager_4@hospital.org
INV00033,V0022,DEPT_ICU03,ICU,28,197,788,Team_Member_7,team_member_7@hospital.org,Manager_3,manager_3@hospital.org
INV00034,V0068,DEPT_ONC04,Oncology,8,151,604,Team_Member_18,team_member_18@hospital.org,Manager_1,manager_1@hospital.org
INV00035,V0128,DEPT_ORT05,Orthopedics,18,69,276,Team_Member_4,team_member_4@hospital.org,Manager_1,manager_1@hospital.org
INV00036,V0061,DEPT_OUT06,Outpatient,5,76,304,Team_Member_14,team_member_14@hospital.org,Manager_5,manager_5@hospital.org
INV00037,V0039,DEPT_PED07,Pediatrics,8,80,320,Team_Member_18,team_member_18@hospital.org,Manager_6,manager_6@hospital.org
INV00038,V0007,DEPT_PHA08,Pharmacy,1,138,552,Team_Member_9,team_member_9@hospital.org,Manager_3,manager_3@hospital.org
INV00039,V0065,DEPT_RAD09,Radiology,23,144,288,Team_Member_2,team_member_2@hospital.org,Manager_9,manager_9@hospital.org
INV00040,V0186,DEPT_SUR10,Surgery,18,53,159,Team_Member_20,team_member_20@hospital.org,Manager_5,manager_5@hospital.org
INV00041,V0092,DEPT_EME01,Emergency,26,77,231,Team_Member_15,team_member_15@hospital.org,Manager_8,manager_8@hospital.org
INV00042,V0082,DEPT_GYN02,Gynecology,4,167,668,Team_Member_7,team_member_7@hospital.org,Manager_1,manager_1@hospital.org
INV00043,V0022,DEPT_ICU03,ICU,28,161,322,Team_Member_12,team_member_12@hospital.org,Manager_5,manager_5@hospital.org
INV00044,V0125,DEPT_ONC04,Oncology,14,187,561,Team_Member_8,team_member_8@hospital.org,Manager_3,manager_3@hospital.org
INV00045,V0006,DEPT_ORT05,Orthopedics,7,161,644,Team_Member_15,team_member_15@hospital.org,Manager_1,manager_1@hospital.org
INV00046,V0003,DEPT_OUT06,Outpatient,24,132,264,Team_Member_3,team_member_3@hospital.org,Manager_4,manager_4@hospital.org
INV00047,V0106,DEPT_PED07,Pediatrics,23,121,363,Team_Member_14,team_member_14@hospital.org,Manager_5,manager_5@hospital.org
INV00048,V0032,DEPT_PHA08,Pharmacy,3,168,672,Team_Member_17,team_member_17@hospital.org,Manager_7,manager_7@hospital.org
INV00049,V0179,DEPT_RAD09,Radiology,20,136,272,Team_Member_4,team_member_4@hospital.org,Manager_1,manager_1@hospital.org
INV00050,V0122,DEPT_SUR10,Surgery,11,133,266,Team_Member_18,team_member_18@hospital.org,Manager_3,manager_3@hospital.org
INV00051,V0168,DEPT_EME01,Emergency,10,104,312,Team_Member_8,team_member_8@hospital.org,Manager_2,manager_2@hospital.org
INV00052,V0094,DEPT_GYN02,Gynecology,16,137,411,Team_Member_4,team_member_4@hospital.org,Manager_9,manager_9@hospital.org
INV00053,V0075,DEPT_ICU03,ICU,5,192,384,Team_Member_2,team_member_2@hospital.org,Manager_10,manager_10@hospital.org
INV00054,V0134,DEPT_ONC04,Oncology,26,71,142,Team_Member_6,team_member_6@hospital.org,Manager_6,manager_6@hospital.org
INV00055,V0034,DEPT_ORT05,Orthopedics,16,175,700,Team_Member_10,team_member_10@hospital.org,Manager_10,manager_10@hospital.org
INV00056,V0103,DEPT_OUT06,Outpatient,20,171,684,Team_Member_4,team_member_4@hospital.org,Manager_3,manager_3@hospital.org
INV00057,V0077,DEPT_PED07,Pediatrics,7,164,328,Team_Member_18,team_member_18@hospital.org,Manager_8,manager_8@hospital.org
INV00058,V0196,DEPT_PHA08,Pharmacy,8,125,250,Team_Member_12,team_member_12@hospital.org,Manager_8,manager_8@hospital.org
INV00059,V0007,DEPT_RAD09,Radiology,1,112,336,Team_Member_2,team_member_2@hospital.org,Manager_2,manager_2@hospital.org
INV00060,V0099,DEPT_SUR10,Surgery,17,171,684,Team_Member_10,team_member_10@hospital.org,Manager_6,manager_6@hospital.org
INV00061,V0093,DEPT_EME01,Emergency,23,158,632,Team_Member_4,team_member_4@hospital.org,Manager_7,manager_7@hospital.org
INV00062,V0133,DEPT_GYN02,Gynecology,10,140,560,Team_Member_14,team_member_14@hospital.org,Manager_2,manager_2@hospital.org
INV00063,V0191,DEPT_ICU03,ICU,24,119,357,Team_Member_16,team_member_16@hospital.org,Manager_10,manager_10@hospital.org
INV00064,V0144,DEPT_ONC04,Oncology,2,109,218,Team_Member_15,team_member_15@hospital.org,Manager_2,manager_2@hospital.org
INV00065,V0167,DEPT_ORT05,Orthopedics,29,130,260,Team_Member_8,team_member_8@hospital.org,Manager_10,manager_10@hospital.org
INV00066,V0152,DEPT_OUT06,Outpatient,9,99,198,Team_Member_14,team_member_14@hospital.org,Manager_1,manager_1@hospital.org
INV00067,V0056,DEPT_PED07,Pediatrics,4,120,480,Team_Member_8,team_member_8@hospital.org,Manager_8,manager_8@hospital.org
INV00068,V0035,DEPT_PHA08,Pharmacy,21,75,150,Team_Member_16,team_member_16@hospital.org,Manager_1,manager_1@hospital.org
INV00069,V0167,DEPT_RAD09,Radiology,29,108,324,Team_Member_13,team_member_13@hospital.org,Manager_9,manager_9@hospital.org
INV00070,V0109,DEPT_SUR10,Surgery,25,127,254,Team_Member_18,team_member_18@hospital.org,Manager_6,manager_6@hospital.org
INV00071,V0059,DEPT_EME01,Emergency,3,120,240,Team_Member_15,team_member_15@hospital.org,Manager_7,manager_7@hospital.org
INV00072,V0183,DEPT_GYN02,Gynecology,1,191,573,Team_Member_13,team_member_13@hospital.org,Manager_10,manager_10@hospital.org
INV00073,V0158,DEPT_ICU03,ICU,23,175,350,Team_Member_9,team_member_9@hospital.org,Manager_7,manager_7@hospital.org
INV00074,V0021,DEPT_ONC04,Oncology,25,196,588,Team_Member_15,team_member_15@hospital.org,Manager_10,manager_10@hospital.org
INV00075,V0186,DEPT_ORT05,Orthopedics,18,172,516,Team_Member_13,team_member_13@hospital.org,Manager_3,manager_3@hospital.org
INV00076,V0172,DEPT_OUT06,Outpatient,22,97,194,Team_Member_1,team_member_1@hospital.org,Manager_2,manager_2@hospital.org
INV00077,V0122,DEPT_PED07,Pediatrics,11,172,344,Team_Member_7,team_member_7@hospital.org,Manager_9,manager_9@hospital.org
INV00078,V0026,DEPT_PHA08,Pharmacy,23,152,456,Team_Member_9,team_member_9@hospital.org,Manager_8,manager_8@hospital.org
INV00079,V0086,DEPT_RAD09,Radiology,28,197,788,Team_Member_1,team_member_1@hospital.org,Manager_10,manager_10@hospital.org
INV00080,V0028,DEPT_SUR10,Surgery,6,88,176,Team_Member_12,team_member_12@hospital.org,Manager_7,manager_7@hospital.org
INV00081,V0178,DEPT_EME01,Emergency,2,71,142,Team_Member_8,team_member_8@hospital.org,Manager_9,manager_9@hospital.org
INV00082,V0158,DEPT_GYN02,Gynecology,23,192,576,Team_Member_11,team_member_11@hospital.org,Manager_4,manager_4@hospital.org
INV00083,V0021,DEPT_ICU03,ICU,25,183,549,Team_Member_19,team_member_19@hospital.org,Manager_4,manager_4@hospital.org
INV00084,V0141,DEPT_ONC04,Oncology,11,163,489,Team_Member_17,team_member_17@hospital.org,Manager_1,manager_1@hospital.org
INV00085,V0089,DEPT_ORT05,Orthopedics,16,128,512,Team_Member_8,team_member_8@hospital.org,Manager_8,manager_8@hospital.org
INV00086,V0182,DEPT_OUT06,Outpatient,8,75,150,Team_Member_3,team_member_3@hospital.org,Manager_3,manager_3@hospital.org
INV00087,V0166,DEPT_PED07,Pediatrics,14,117,468,Team_Member_3,team_member_3@hospital.org,Manager_7,manager_7@hospital.org
INV00088,V0162,DEPT_PHA08,Pharmacy,22,90,180,Team_Member_1,team_member_1@hospital.org,Manager_2,manager_2@hospital.org
INV00089,V0200,DEPT_RAD09,Radiology,13,191,382,Team_Member_5,team_member_5@hospital.org,Manager_2,manager_2@hospital.org
INV00090,V0013,DEPT_SUR10,Surgery,11,50,150,Team_Member_10,team_member_10@hospital.org,Manager_7,manager_7@hospital.org
INV00091,V0081,DEPT_EME01,Emergency,24,170,510,Team_Member_7,team_member_7@hospital.org,Manager_6,manager_6@hospital.org
INV00092,V0060,DEPT_GYN02,Gynecology,25,109,327,Team_Member_9,team_member_9@hospital.org,Manager_3,manager_3@hospital.org
INV00093,V0112,DEPT_ICU03,ICU,9,166,332,Team_Member_7,team_member_7@hospital.org,Manager_9,manager_9@hospital.org
INV00094,V0158,DEPT_ONC04,Oncology,23,117,468,Team_Member_9,team_member_9@hospital.org,Manager_10,manager_10@hospital.org
INV00095,V0147,DEPT_ORT05,Orthopedics,22,158,316,Team_Member_8,team_member_8@hospital.org,Manager_6,manager_6@hospital.org
INV00096,V0063,DEPT_OUT06,Outpatient,20,88,264,Team_Member_12,team_member_12@hospital.org,Manager_10,manager_10@hospital.org
INV00097,V0053,DEPT_PED07,Pediatrics,12,68,136,Team_Member_2,team_member_2@hospital.org,Manager_10,manager_10@hospital.org
INV00098,V0106,DEPT_PHA08,Pharmacy,23,128,512,Team_Member_1,team_member_1@hospital.org,Manager_6,manager_6@hospital.org
INV00099,V0032,DEPT_RAD09,Radiology,3,162,324,Team_Member_16,team_member_16@hospital.org,Manager_1,manager_1@hospital.org
INV00100,V0035,DEPT_SUR10,Surgery,21,127,508,Team_Member_5,team_member_5@hospital.org,Manager_4,manager_4@hospital.org
INV00101,V0026,DEPT_EME01,Emergency,23,119,476,Team_Member_3,team_member_3@hospital.org,Manager_10,manager_10@hospital.org
INV00102,V0052,DEPT_GYN02,Gynecology,17,162,324,Team_Member_12,team_member_12@hospital.org,Manager_6,manager_6@hospital.org
INV00103,V0024,DEPT_ICU03,ICU,27,160,640,Team_Member_8,team_member_8@hospital.org,Manager_6,manager_6@hospital.org
INV00104,V0094,DEPT_ONC04,Oncology,16,114,228,Team_Member_3,team_member_3@hospital.org,Manager_5,manager_5@hospital.org
INV00105,V0179,DEPT_ORT05,Orthopedics,20,108,432,Team_Member_1,team_member_1@hospital.org,Manager_1,manager_1@hospital.org
INV00106,V0192,DEPT_OUT06,Outpatient,30,118,472,Team_Member_3,team_member_3@hospital.org,Manager_8,manager_8@hospital.org
INV00107,V0097,DEPT_PED07,Pediatrics,2,94,282,Team_Member_5,team_member_5@hospital.org,Manager_5,manager_5@hospital.org
INV00108,V0074,DEPT_PHA08,Pharmacy,22,121,242,Team_Member_15,team_member_15@hospital.org,Manager_5,manager_5@hospital.org
INV00109,V0114,DEPT_RAD09,Radiology,12,175,350,Team_Member_14,team_member_14@hospital.org,Manager_7,manager_7@hospital.org
INV00110,V0183,DEPT_SUR10,Surgery,1,139,417,Team_Member_3,team_member_3@hospital.org,Manager_4,manager_4@hospital.org
INV00111,V0021,DEPT_EME01,Emergency,25,132,528,Team_Member_1,team_member_1@hospital.org,Manager_6,manager_6@hospital.org
INV00112,V0199,DEPT_GYN02,Gynecology,3,91,273,Team_Member_5,team_member_5@hospital.org,Manager_4,manager_4@hospital.org
INV00113,V0133,DEPT_ICU03,ICU,10,176,528,Team_Member_14,team_member_14@hospital.org,Manager_3,manager_3@hospital.org
INV00114,V0165,DEPT_ONC04,Oncology,10,190,380,Team_Member_7,team_member_7@hospital.org,Manager_7,manager_7@hospital.org
INV00115,V0007,DEPT_ORT05,Orthopedics,1,72,216,Team_Member_9,team_member_9@hospital.org,Manager_8,manager_8@hospital.org
INV00116,V0101,DEPT_OUT06,Outpatient,28,132,264,Team_Member_15,team_member_15@hospital.org,Manager_4,manager_4@hospital.org
INV00117,V0176,DEPT_PED07,Pediatrics,25,181,362,Team_Member_15,team_member_15@hospital.org,Manager_2,manager_2@hospital.org
INV00118,V0069,DEPT_PHA08,Pharmacy,19,155,310,Team_Member_10,team_member_10@hospital.org,Manager_10,manager_10@hospital.org
INV00119,V0042,DEPT_RAD09,Radiology,14,182,546,Team_Member_13,team_member_13@hospital.org,Manager_3,manager_3@hospital.org
INV00120,V0176,DEPT_SUR10,Surgery,25,163,326,Team_Member_19,team_member_19@hospital.org,Manager_1,manager_1@hospital.org
INV00121,V0165,DEPT_EME01,Emergency,10,118,472,Team_Member_7,team_member_7@hospital.org,Manager_8,manager_8@hospital.org
INV00122,V0090,DEPT_GYN02,Gynecology,13,123,369,Team_Member_17,team_member_17@hospital.org,Manager_3,manager_3@hospital.org
INV00123,V0137,DEPT_ICU03,ICU,14,81,162,Team_Member_20,team_member_20@hospital.org,Manager_10,manager_10@hospital.org
INV00124,V0047,DEPT_ONC04,Oncology,25,90,270,Team_Member_4,team_member_4@hospital.org,Manager_7,manager_7@hospital.org
INV00125,V0177,DEPT_ORT05,Orthopedics,8,191,573,Team_Member_5,team_member_5@hospital.org,Manager_10,manager_10@hospital.org
INV00126,V0041,DEPT_OUT06,Outpatient,5,107,214,Team_Member_7,team_member_7@hospital.org,Manager_5,manager_5@hospital.org
INV00127,V0041,DEPT_PED07,Pediatrics,5,80,320,Team_Member_13,team_member_13@hospital.org,Manager_10,manager_10@hospital.org
INV00128,V0145,DEPT_PHA08,Pharmacy,27,177,708,Team_Member_15,team_member_15@hospital.org,Manager_5,manager_5@hospital.org
INV00129,V0046,DEPT_RAD09,Radiology,4,180,720,Team_Member_11,team_member_11@hospital.org,Manager_7,manager_7@hospital.org
INV00130,V0093,DEPT_SUR10,Surgery,23,156,468,Team_Member_4,team_member_4@hospital.org,Manager_9,manager_9@hospital.org
INV00131,V0145,DEPT_EME01,Emergency,27,112,336,Team_Member_13,team_member_13@hospital.org,Manager_5,manager_5@hospital.org
INV00132,V0176,DEPT_GYN02,Gynecology,25,148,296,Team_Member_7,team_member_7@hospital.org,Manager_1,manager_1@hospital.org
INV00133,V0158,DEPT_ICU03,ICU,23,67,201,Team_Member_19,team_member_19@hospital.org,Manager_10,manager_10@hospital.org
INV00134,V0098,DEPT_ONC04,Oncology,17,137,548,Team_Member_2,team_member_2@hospital.org,Manager_10,manager_10@hospital.org
INV00135,V0094,DEPT_ORT05,Orthopedics,16,50,150,Team_Member_10,team_member_10@hospital.org,Manager_1,manager_1@hospital.org
INV00136,V0119,DEPT_OUT06,Outpatient,5,200,800,Team_Member_13,team_member_13@hospital.org,Manager_2,manager_2@hospital.org
INV00137,V0065,DEPT_PED07,Pediatrics,23,88,264,Team_Member_6,team_member_6@hospital.org,Manager_6,manager_6@hospital.org
INV00138,V0169,DEPT_PHA08,Pharmacy,1,138,414,Team_Member_12,team_member_12@hospital.org,Manager_9,manager_9@hospital.org
INV00139,V0040,DEPT_RAD09,Radiology,3,166,498,Team_Member_12,team_member_12@hospital.org,Manager_8,manager_8@hospital.org
INV00140,V0071,DEPT_SUR10,Surgery,21,111,444,Team_Member_20,team_member_20@hospital.org,Manager_5,manager_5@hospital.org
INV00141,V0047,DEPT_EME01,Emergency,25,109,327,Team_Member_11,team_member_11@hospital.org,Manager_1,manager_1@hospital.org
INV00142,V0183,DEPT_GYN02,Gynecology,1,131,524,Team_Member_7,team_member_7@hospital.org,Manager_7,manager_7@hospital.org
INV00143,V0108,DEPT_ICU03,ICU,10,147,441,Team_Member_1,team_member_1@hospital.org,Manager_5,manager_5@hospital.org
INV00144,V0192,DEPT_ONC04,Oncology,30,176,352,Team_Member_1,team_member_1@hospital.org,Manager_6,manager_6@hospital.org
INV00145,V0110,DEPT_ORT05,Orthopedics,20,178,712,Team_Member_20,team_member_20@hospital.org,Manager_7,manager_7@hospital.org
INV00146,V0108,DEPT_OUT06,Outpatient,10,75,225,Team_Member_13,team_member_13@hospital.org,Manager_3,manager_3@hospital.org
INV00147,V0131,DEPT_PED07,Pediatrics,27,184,552,Team_Member_9,team_member_9@hospital.org,Manager_10,manager_10@hospital.org
INV00148,V0193,DEPT_PHA08,Pharmacy,6,86,258,Team_Member_3,team_member_3@hospital.org,Manager_3,manager_3@hospital.org
INV00149,V0002,DEPT_RAD09,Radiology,9,69,207,Team_Member_7,team_member_7@hospital.org,Manager_5,manager_5@hospital.org
INV00150,V0188,DEPT_SUR10,Surgery,15,136,544,Team_Member_6,team_member_6@hospital.org,Manager_6,manager_6@hospital.org
INV00151,V0145,DEPT_EME01,Emergency,27,70,210,Team_Member_8,team_member_8@hospital.org,Manager_9,manager_9@hospital.org
INV00152,V0018,DEPT_GYN02,Gynecology,10,131,524,Team_Member_9,team_member_9@hospital.org,Manager_5,manager_5@hospital.org
INV00153,V0120,DEPT_ICU03,ICU,4,188,376,Team_Member_5,team_member_5@hospital.org,Manager_1,manager_1@hospital.org
INV00154,V0154,DEPT_ONC04,Oncology,14,110,440,Team_Member_1,team_member_1@hospital.org,Manager_4,manager_4@hospital.org
INV00155,V0036,DEPT_ORT05,Orthopedics,5,108,432,Team_Member_19,team_member_19@hospital.org,Manager_5,manager_5@hospital.org
INV00156,V0157,DEPT_OUT06,Outpatient,19,161,322,Team_Member_10,team_member_10@hospital.org,Manager_10,manager_10@hospital.org
INV00157,V0114,DEPT_PED07,Pediatrics,12,163,326,Team_Member_12,team_member_12@hospital.org,Manager_10,manager_10@hospital.org
INV00158,V0193,DEPT_PHA08,Pharmacy,6,57,114,Team_Member_15,team_member_15@hospital.org,Manager_5,manager_5@hospital.org
INV00159,V0168,DEPT_RAD09,Radiology,10,64,192,Team_Member_9,team_member_9@hospital.org,Manager_7,manager_7@hospital.org
INV00160,V0112,DEPT_SUR10,Surgery,9,145,435,Team_Member_20,team_member_20@hospital.org,Manager_4,manager_4@hospital.org
INV00161,V0188,DEPT_EME01,Emergency,15,112,448,Team_Member_17,team_member_17@hospital.org,Manager_1,manager_1@hospital.org
INV00162,V0139,DEPT_GYN02,Gynecology,26,194,776,Team_Member_17,team_member_17@hospital.org,Manager_5,manager_5@hospital.org
INV00163,V0114,DEPT_ICU03,ICU,12,93,186,Team_Member_20,team_member_20@hospital.org,Manager_7,manager_7@hospital.org
INV00164,V0058,DEPT_ONC04,Oncology,8,147,588,Team_Member_12,team_member_12@hospital.org,Manager_10,manager_10@hospital.org
INV00165,V0019,DEPT_ORT05,Orthopedics,12,177,708,Team_Member_7,team_member_7@hospital.org,Manager_10,manager_10@hospital.org
INV00166,V0068,DEPT_OUT06,Outpatient,8,109,327,Team_Member_2,team_member_2@hospital.org,Manager_6,manager_6@hospital.org
INV00167,V0141,DEPT_PED07,Pediatrics,11,167,501,Team_Member_3,team_member_3@hospital.org,Manager_5,manager_5@hospital.org
INV00168,V0046,DEPT_PHA08,Pharmacy,4,169,507,Team_Member_17,team_member_17@hospital.org,Manager_4,manager_4@hospital.org
INV00169,V0121,DEPT_RAD09,Radiology,10,68,204,Team_Member_5,team_member_5@hospital.org,Manager_2,manager_2@hospital.org
INV00170,V0054,DEPT_SUR10,Surgery,25,200,600,Team_Member_17,team_member_17@hospital.org,Manager_4,manager_4@hospital.org
INV00171,V0061,DEPT_EME01,Emergency,5,114,342,Team_Member_17,team_member_17@hospital.org,Manager_10,manager_10@hospital.org
INV00172,V0175,DEPT_GYN02,Gynecology,20,100,300,Team_Member_17,team_member_17@hospital.org,Manager_10,manager_10@hospital.org
INV00173,V0061,DEPT_ICU03,ICU,5,77,154,Team_Member_2,team_member_2@hospital.org,Manager_3,manager_3@hospital.org
INV00174,V0052,DEPT_ONC04,Oncology,17,196,588,Team_Member_2,team_member_2@hospital.org,Manager_10,manager_10@hospital.org
INV00175,V0086,DEPT_ORT05,Orthopedics,28,125,250,Team_Member_5,team_member_5@hospital.org,Manager_1,manager_1@hospital.org
INV00176,V0074,DEPT_OUT06,Outpatient,22,120,240,Team_Member_1,team_member_1@hospital.org,Manager_8,manager_8@hospital.org
INV00177,V0096,DEPT_PED07,Pediatrics,18,177,531,Team_Member_1,team_member_1@hospital.org,Manager_5,manager_5@hospital.org
INV00178,V0070,DEPT_PHA08,Pharmacy,8,140,280,Team_Member_19,team_member_19@hospital.org,Manager_4,manager_4@hospital.org
INV00179,V0047,DEPT_RAD09,Radiology,25,114,456,Team_Member_2,team_member_2@hospital.org,Manager_8,manager_8@hospital.org
INV00180,V0044,DEPT_SUR10,Surgery,17,74,296,Team_Member_12,team_member_12@hospital.org,Manager_7,manager_7@hospital.org
INV00181,V0082,DEPT_EME01,Emergency,4,129,387,Team_Member_6,team_member_6@hospital.org,Manager_2,manager_2@hospital.org
INV00182,V0064,DEPT_GYN02,Gynecology,30,198,594,Team_Member_4,team_member_4@hospital.org,Manager_1,manager_1@hospital.org
INV00183,V0068,DEPT_ICU03,ICU,8,73,219,Team_Member_11,team_member_11@hospital.org,Manager_4,manager_4@hospital.org
INV00184,V0060,DEPT_ONC04,Oncology,25,156,312,Team_Member_17,team_member_17@hospital.org,Manager_8,manager_8@hospital.org
INV00185,V0181,DEPT_ORT05,Orthopedics,23,83,332,Team_Member_6,team_member_6@hospital.org,Manager_2,manager_2@hospital.org
INV00186,V0194,DEPT_OUT06,Outpatient,25,185,740,Team_Member_5,team_member_5@hospital.org,Manager_3,manager_3@hospital.org
INV00187,V0162,DEPT_PED07,Pediatrics,22,92,276,Team_Member_20,team_member_20@hospital.org,Manager_1,manager_1@hospital.org
INV00188,V0003,DEPT_PHA08,Pharmacy,24,125,500,Team_Member_2,team_member_2@hospital.org,Manager_1,manager_1@hospital.org
INV00189,V0109,DEPT_RAD09,Radiology,25,79,237,Team_Member_6,team_member_6@hospital.org,Manager_3,manager_3@hospital.org
INV00190,V0122,DEPT_SUR10,Surgery,11,86,172,Team_Member_11,team_member_11@hospital.org,Manager_5,manager_5@hospital.org
INV00191,V0019,DEPT_EME01,Emergency,12,192,576,Team_Member_16,team_member_16@hospital.org,Manager_3,manager_3@hospital.org
INV00192,V0152,DEPT_GYN02,Gynecology,9,151,302,Team_Member_16,team_member_16@hospital.org,Manager_1,manager_1@hospital.org
INV00193,V0111,DEPT_ICU03,ICU,3,187,374,Team_Member_1,team_member_1@hospital.org,Manager_1,manager_1@hospital.org
INV00194,V0012,DEPT_ONC04,Oncology,5,144,576,Team_Member_9,team_member_9@hospital.org,Manager_8,manager_8@hospital.org
INV00195,V0050,DEPT_ORT05,Orthopedics,25,199,597,Team_Member_6,team_member_6@hospital.org,Manager_10,manager_10@hospital.org
INV00196,V0194,DEPT_OUT06,Outpatient,25,77,308,Team_Member_16,team_member_16@hospital.org,Manager_2,manager_2@hospital.org
INV00197,V0081,DEPT_PED07,Pediatrics,24,170,340,Team_Member_3,team_member_3@hospital.org,Manager_3,manager_3@hospital.org
INV00198,V0074,DEPT_PHA08,Pharmacy,22,106,424,Team_Member_20,team_member_20@hospital.org,Manager_2,manager_2@hospital.org
INV00199,V0180,DEPT_RAD09,Radiology,29,168,672,Team_Member_4,team_member_4@hospital.org,Manager_3,manager_3@hospital.org
INV00200,V0166,DEPT_SUR10,Surgery,14,154,308,Team_Member_19,team_member_19@hospital.org,Manager_7,manager_7@hospital.org
INV00201,V0074,DEPT_EME01,Emergency,22,61,122,Team_Member_3,team_member_3@hospital.org,Manager_1,manager_1@hospital.org
INV00202,V0058,DEPT_GYN02,Gynecology,8,176,352,Team_Member_19,team_member_19@hospital.org,Manager_10,manager_10@hospital.org
INV00203,V0033,DEPT_ICU03,ICU,19,110,440,Team_Member_20,team_member_20@hospital.org,Manager_8,manager_8@hospital.org
INV00204,V0188,DEPT_ONC04,Oncology,15,149,447,Team_Member_7,team_member_7@hospital.org,Manager_10,manager_10@hospital.org
INV00205,V0007,DEPT_ORT05,Orthopedics,1,188,564,Team_Member_20,team_member_20@hospital.org,Manager_10,manager_10@hospital.org
